Year,Province,District,Crop Type,Area Cultivated (Hectares),Production (Tonnes),Yield (Tonnes/Hectare),Data Source
2024-25,National,All Districts,Rice,3000000,9800000,3.27,USDA FAS Sept 2024
2024-25,National,All Districts,Rice,3000000,9720000,3.24,Economic Survey Pakistan 2024-25
2024-25,Punjab,All Districts,Rice,1650000,5390000,3.27,Estimated (55% national share)
2024-25,Sindh,All Districts,Rice,1200000,3920000,3.27,Estimated (40% national share)
2024-25,Balochistan,Nasirabad,Rice,25000,81750,3.27,CRS Balochistan / Estimated
2024-25,Balochistan,Jafarabad,Rice,25000,81750,3.27,CRS Balochistan / Estimated
2024-25,Balochistan,Other Districts,Rice,50000,163500,3.27,Estimated
2024-25,KPK,All Districts,Rice,50000,163500,3.27,Estimated (1.7% national share)
2023-24,National,All Districts,Rice,3100000,9870000,3.18,Economic Survey Pakistan 2023-24
2023-24,Punjab,All Districts,Rice,1705000,5428500,3.18,Estimated (55% national share)
2023-24,Sindh,All Districts,Rice,1240000,3948000,3.18,Estimated (40% national share)
2023-24,Balochistan,Nasirabad,Rice,26000,82680,3.18,Estimated
2023-24,Balochistan,Jafarabad,Rice,26000,82680,3.18,Estimated
2023-24,Balochistan,Other Districts,Rice,53000,168540,3.18,Estimated
2023-24,KPK,All Districts,Rice,50000,159000,3.18,Estimated
2022-23,National,All Districts,Rice,2035000,7320000,3.60,Economic Survey / Wikipedia
2022-23,Punjab,All Districts,Rice,1119250,4026000,3.60,Estimated (55% national share)
2022-23,Sindh,All Districts,Rice,814000,2928000,3.60,Estimated (40% national share - Flood affected)
2022-23,Balochistan,All Districts,Rice,51000,183600,3.60,Estimated
2022-23,KPK,All Districts,Rice,50750,182600,3.60,Estimated
2021-22,National,All Districts,Rice,2588889,9320000,3.60,Wikipedia (Milled Rice)
2021-22,Punjab,All Districts,Rice,1423889,5126000,3.60,Estimated (55% national share)
2021-22,Sindh,All Districts,Rice,1035556,3728000,3.60,Estimated (40% national share)
2021-22,Balochistan,All Districts,Rice,65000,234000,3.60,Estimated
2021-22,KPK,All Districts,Rice,64444,232000,3.60,Estimated
2020-21,National,All Districts,Rice,2750000,9900000,3.60,Estimated based on trends
2020-21,Punjab,All Districts,Rice,1512500,5445000,3.60,Estimated (55% national share)
2020-21,Sindh,All Districts,Rice,1100000,3960000,3.60,Estimated (40% national share)
2020-21,Balochistan,All Districts,Rice,69000,248400,3.60,Estimated
2020-21,KPK,All Districts,Rice,68500,246600,3.60,Estimated
2019-20,National,All Districts,Rice,2083333,7500000,3.60,Wikipedia (2019 Calendar Year)
2019-20,Punjab,All Districts,Rice,1145833,4125000,3.60,Estimated (55% national share)
2019-20,Sindh,All Districts,Rice,833333,3000000,3.60,Estimated (40% national share)
2019-20,Balochistan,All Districts,Rice,52000,187200,3.60,Estimated
2019-20,KPK,All Districts,Rice,52167,187800,3.60,Estimated
2018-19,National,All Districts,Rice,2722222,9800000,3.60,Estimated based on trends
2018-19,Punjab,All Districts,Rice,1497222,5390000,3.60,Estimated (55% national share)
