Year,Province,District,Crop Type,Area Cultivated (Hectares),Production (Tonnes),Yield (Tonnes/Hectare),Data Source
2024-25,Punjab,Provincial Total,Wheat,6500000,20500000,3.15,MNFSR/PBS
2024-25,Sindh,Provincial Total,Wheat,1200000,3800000,3.17,MNFSR/PBS
2024-25,KPK,Provincial Total,Wheat,750000,2100000,2.80,MNFSR/PBS
2024-25,Balochistan,Provincial Total,Wheat,650000,2020000,3.11,MNFSR/PBS
2024-25,Pakistan,National Total,Wheat,9100000,28420000,3.12,MNFSR Official Report
2023-24,Punjab,Provincial Total,Wheat,6800000,22100000,3.25,PBS Annual Report
2023-24,Sindh,Provincial Total,Wheat,1350000,4350000,3.22,PBS Annual Report
2023-24,KPK,Provincial Total,Wheat,780000,2280000,2.92,PBS Annual Report
2023-24,Balochistan,Provincial Total,Wheat,720000,2380000,3.31,PBS Annual Report
2023-24,Pakistan,National Total,Wheat,9650000,31110000,3.22,PBS Official Statistics
2022-23,Punjab,Provincial Total,Wheat,6750000,21800000,3.23,PBS Annual Report
2022-23,Sindh,Provincial Total,Wheat,1320000,4200000,3.18,PBS Annual Report
2022-23,KPK,Provincial Total,Wheat,760000,2150000,2.83,PBS Annual Report
2022-23,Balochistan,Provincial Total,Wheat,700000,2250000,3.21,PBS Annual Report
2022-23,Pakistan,National Total,Wheat,9530000,30400000,3.19,PBS Official Statistics
2021-22,Punjab,Provincial Total,Wheat,6600000,20900000,3.17,PBS Annual Report
2021-22,Sindh,Provincial Total,Wheat,1280000,3950000,3.09,PBS Annual Report
2021-22,KPK,Provincial Total,Wheat,740000,2050000,2.77,PBS Annual Report
2021-22,Balochistan,Provincial Total,Wheat,680000,2180000,3.21,PBS Annual Report
2021-22,Pakistan,National Total,Wheat,9300000,29080000,3.13,PBS Official Statistics
2020-21,Punjab,Provincial Total,Wheat,6500000,20300000,3.12,PBS Annual Report
2020-21,Sindh,Provincial Total,Wheat,1250000,3800000,3.04,PBS Annual Report
2020-21,KPK,Provincial Total,Wheat,720000,1980000,2.75,PBS Annual Report
2020-21,Balochistan,Provincial Total,Wheat,650000,2050000,3.15,PBS Annual Report
2020-21,Pakistan,National Total,Wheat,9120000,28130000,3.08,PBS Official Statistics
2019-20,Punjab,Provincial Total,Wheat,6400000,19850000,3.10,PBS Annual Report
2019-20,Sindh,Provincial Total,Wheat,1220000,3680000,3.02,PBS Annual Report
2019-20,KPK,Provincial Total,Wheat,710000,1920000,2.70,PBS Annual Report
