Crop,Region,Year,Actual_Production_kt,Predicted_Production_kt,Error_kt,Error_Pct
Wheat,Punjab,2008,18420.0,18053.83,366.17,1.99
Wheat,Punjab,2009,17919.0,18058.58,-139.58,0.78
Wheat,Punjab,2010,19041.0,18884.86,156.14,0.82
Wheat,Punjab,2011,17738.9,18417.4,-678.5,3.82
Wheat,Punjab,2012,18587.0,18549.26,37.74,0.2
Wheat,Punjab,2013,19738.9,19574.3,164.6,0.83
Wheat,Punjab,2014,19281.9,19368.37,-86.47,0.45
Wheat,Punjab,2015,19526.7,19752.54,-225.84,1.16
Wheat,Punjab,2016,20466.3,20310.86,155.44,0.76
Wheat,Punjab,2017,19178.5,19942.19,-763.69,3.98
Wheat,Punjab,2018,18377.2,19852.3,-1475.1,8.03
Wheat,Punjab,2019,19401.9,20129.44,-727.54,3.75
Wheat,Punjab,2020,20900.0,21034.92,-134.92,0.65
Wheat,Punjab,2021,20032.0,21078.49,-1046.49,5.22
Wheat,Punjab,2022,21225.0,21525.53,-300.53,1.42
Wheat,Punjab,2023,24243.0,23514.78,728.22,3.0
Wheat,Sindh,2016,3910.4,3841.49,68.91,1.76
Wheat,Sindh,2017,3639.5,3833.65,-194.15,5.33
Wheat,Sindh,2018,3778.9,3818.52,-39.62,1.05
Wheat,Sindh,2019,3850.0,3801.89,48.11,1.25
Wheat,Sindh,2020,4043.17,3932.42,110.75,2.74
Wheat,Sindh,2021,3759.75,3928.88,-169.13,4.5
Wheat,Sindh,2022,3940.17,3960.0,-19.83,0.5
Wheat,Sindh,2023,4359.97,4062.98,296.99,6.81
Wheat,KPK,2008,1204.5,1157.97,46.53,3.86
Wheat,KPK,2009,1152.5,1130.61,21.89,1.9
Wheat,KPK,2010,1155.8,1180.87,-25.07,2.17
Wheat,KPK,2011,1130.3,1150.0,-19.7,1.74
Wheat,KPK,2012,1257.6,1183.08,74.52,5.93
Wheat,KPK,2013,1363.1,1254.42,108.68,7.97
Wheat,KPK,2014,1259.9,1292.55,-32.65,2.59
Wheat,KPK,2015,1400.5,1334.16,66.34,4.74
Wheat,KPK,2016,1365.1,1347.52,17.58,1.29
Wheat,KPK,2017,1322.7,1341.42,-18.72,1.42
Wheat,KPK,2018,1336.7,1337.18,-0.48,0.04
Wheat,KPK,2019,1130.4,1272.41,-142.01,12.56
Wheat,KPK,2020,1361.58,1276.68,84.9,6.24
Wheat,KPK,2021,1380.92,1280.92,100.0,7.24
Wheat,KPK,2022,1494.14,1406.31,87.83,5.88
Wheat,KPK,2023,1493.8,1443.6,50.2,3.36
Wheat,Balochistan,2012,768.1,790.53,-22.43,2.92
Wheat,Balochistan,2013,875.3,840.15,35.15,4.02
Wheat,Balochistan,2014,872.1,859.15,12.95,1.48
Wheat,Balochistan,2015,871.3,890.55,-19.25,2.21
Wheat,Balochistan,2016,931.8,905.97,25.83,2.77
Wheat,Balochistan,2017,935.4,927.33,8.07,0.86
Wheat,Balochistan,2018,865.3,925.63,-60.33,6.97
Wheat,Balochistan,2019,867.2,902.66,-35.46,4.09
Wheat,Balochistan,2020,1159.33,976.17,183.16,15.8
Wheat,Balochistan,2021,1220.98,1089.14,131.84,10.8
Wheat,Balochistan,2022,1516.23,1296.59,219.64,14.49
Wheat,Balochistan,2023,1486.1,1409.16,76.94,5.18
Rice,Punjab,2016,3475.0,3481.7,-6.7,0.19
Rice,Punjab,2017,3898.0,3870.93,27.07,0.69
Rice,Punjab,2018,3979.0,3939.1,39.9,1.0
Rice,Punjab,2019,4143.72,4131.85,11.87,0.29
Rice,Punjab,2020,5301.4,5187.76,113.64,2.14
Rice,Punjab,2021,5779.0,5667.74,111.26,1.93
Rice,Punjab,2022,5070.0,5063.12,6.88,0.14
Rice,Punjab,2023,6117.0,6019.74,97.26,1.59
Rice,Sindh,2010,1230.3,2093.04,-862.74,70.12
Rice,Sindh,2011,2260.1,2031.72,228.38,10.1
Rice,Sindh,2012,1843.9,1864.05,-20.15,1.09
Rice,Sindh,2013,2617.3,2289.92,327.38,12.51
Rice,Sindh,2014,2652.6,2430.34,222.26,8.38
Rice,Sindh,2015,2572.8,2637.93,-65.13,2.53
Rice,Sindh,2016,2661.6,2656.57,5.03,0.19
Rice,Sindh,2017,2850.5,2699.3,151.2,5.3
Rice,Sindh,2018,2571.1,2694.95,-123.85,4.82
Rice,Sindh,2019,2374.3,2634.65,-260.35,10.97
Rice,Sindh,2020,2416.07,2474.77,-58.7,2.43
Rice,Sindh,2021,2861.38,2592.54,268.84,9.4
Rice,Sindh,2022,2011.8,2449.99,-438.19,21.78
Rice,Sindh,2023,3074.1,2639.9,434.2,14.12
Rice,KPK,2008,128.2,126.97,1.23,0.96
Rice,KPK,2009,102.4,119.74,-17.34,16.93
Rice,KPK,2010,78.4,104.24,-25.84,32.95
Rice,KPK,2011,94.7,92.58,2.12,2.24
Rice,KPK,2012,93.8,88.87,4.93,5.26
Rice,KPK,2013,111.9,99.5,12.4,11.08
Rice,KPK,2014,131.0,111.07,19.93,15.21
Rice,KPK,2015,153.8,131.57,22.23,14.45
Rice,KPK,2016,158.2,147.55,10.65,6.73
Rice,KPK,2017,147.5,153.18,-5.68,3.85
Rice,KPK,2018,153.8,154.09,-0.29,0.19
Rice,KPK,2019,152.9,150.62,2.28,1.49
Rice,KPK,2020,158.53,153.93,4.6,2.9
Rice,KPK,2021,157.55,155.76,1.79,1.14
Rice,KPK,2022,137.27,151.7,-14.43,10.51
Rice,KPK,2023,151.5,149.45,2.05,1.35
Rice,Balochistan,2016,554.5,577.33,-22.83,4.12
Rice,Balochistan,2017,553.8,522.61,31.19,5.63
Rice,Balochistan,2018,498.1,549.82,-51.72,10.38
Rice,Balochistan,2019,535.0,553.22,-18.22,3.41
Rice,Balochistan,2020,543.67,548.63,-4.96,0.91
Rice,Balochistan,2021,524.75,551.91,-27.16,5.18
